Country code,Country name,Series code,Series name,SCALE,Decimals,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
BGD,Bangladesh,EG.USE.COMM.GD.PP.KD,"Energy use per units of GDP (kg oil eq./$1,000 of 2005 PPP $)",0,1,161.935196562264,154.496129842966,155.245749548746,156.704433798828,157.245677445314,163.051742088556,156.769563871558,155.399259428918,153.861565681966,148.747418142414,148.023364631718,152.799924383491,150.247600531124,149.248658502544,145.860039022339,145.839589048797,145.417048263492,142.578163942338,141.611570495086,141.87212347592,..,..
BGR,Bulgaria,EG.USE.COMM.GD.PP.KD,"Energy use per units of GDP (kg oil eq./$1,000 of 2005 PPP $)",0,1,434.899771548875,367.387479550323,369.597465937487,400.874254514035,380.061938268026,401.427434650065,438.43840956865,404.418527286572,370.72864256757,331.716106148872,320.460948896123,321.522082462664,299.70353670712,291.472036404321,263.403289356893,261.67020827446,252.578206069639,233.308360916268,216.091510144585,202.148296401423,..,..
BHR,Bahrain,EG.USE.COMM.GD.PP.KD,"Energy use per units of GDP (kg oil eq./$1,000 of 2005 PPP $)",0,1,492.781458893203,411.610770780102,412.746371446448,393.794658762927,419.527557472156,402.187739000458,389.052170020179,411.531709105505,421.764835213721,393.202235926741,387.325275053487,383.179083894342,385.888245611053,377.800155567809,369.306352515947,368.67214609338,381.019640600231,372.242612054217,369.797154402782,..,..,..
BHS,"Bahamas, The",EG.USE.COMM.GD.PP.KD,"Energy use per units of GDP (kg oil eq./$1,000 of 2005 PPP $)",0,1,106.70835304276,..,..,..,..,..,..,..,..,..,..,..,..,..,81.5844564489155,82.7042915692439,86.3857699772069,85.5550772385466,..,..,..,..
BIH,Bosnia and Herzegovina,EG.USE.COMM.GD.PP.KD,"Energy use per units of GDP (kg oil eq./$1,000 of 2005 PPP $)",0,1,..,..,..,..,325.847502127008,280.763972210495,173.030517279217,197.319212954374,211.604407437278,191.079939520635,235.188517230512,217.643437070262,216.833247411912,208.123641209843,214.33586882434,213.925786118132,215.240389305627,208.810409840479,211.729073061133,217.679996570172,..,..
BLR,Belarus,EG.USE.COMM.GD.PP.KD,"Energy use per units of GDP (kg oil eq./$1,000 of 2005 PPP $)",0,1,684.483620486311,674.237720779425,622.35902402126,573.633558062063,551.662947028284,569.583319089404,568.981244920343,509.458979253382,460.24504007146,433.428594312683,418.340552822364,400.918407406401,389.019108243189,374.179375086541,347.090265074783,321.866670982849,310.3120728628,276.856123815215,249.533045756545,236.78032989674,..,..
BLZ,Belize,EG.USE.COMM.GD.PP.KD,"Energy use per units of GDP (kg oil eq./$1,000 of 2005 PPP $)",0,1,134.417266719789,..,..,..,..,..,..,..,..,..,..,..,..,..,87.5024079305871,88.2183555118695,90.0553768337027,92.0746882230829,..,..,..,..
BMU,Bermuda,EG.USE.COMM.GD.PP.KD,"Energy use per units of GDP (kg oil eq./$1,000 of 2005 PPP $)",0,1,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
BOL,Bolivia,EG.USE.COMM.GD.PP.KD,"Energy use per units of GDP (kg oil eq./$1,000 of 2005 PPP $)",0,1,127.539017168892,124.898118124591,130.147648109716,131.319813545659,138.356582486012,148.599685165897,157.955048952758,164.974911573669,163.817871494869,154.876424377884,127.666428828898,97.677420357515,115.563283231991,118.783416180503,110.951912995216,151.385057140054,178.693737351411,143.139071993426,148.965950169346,150.235112176469,..,..
BRA,Brazil,EG.USE.COMM.GD.PP.KD,"Energy use per units of GDP (kg oil eq./$1,000 of 2005 PPP $)",0,1,130.618483171423,131.112804461359,133.089201741026,130.329751576302,130.251550054821,129.011774679587,133.00986102186,135.211546071421,138.420247225901,141.200496397275,137.117272928195,136.142992859781,136.494586062743,137.18583380142,136.705086928033,136.129754253952,135.52342085433,134.859305993736,135.435780745113,131.684376279579,..,..
