,link,date
82,https://qgis.org/download/,2026-01-09
83,https://github.com/uqlibrary/technology-training-assets/raw/refs/heads/master/QGIS/reports/qgis_reports.zip,2026-01-09
84,https://colorbrewer2.org/#type=qualitative&scheme=Set2&n=7,2026-01-09
85,https://web.library.uq.edu.au/study-and-learning-support/training-and-workshops/software-training-resources,2026-01-09
86,https://qimagery.information.qld.gov.au/,2026-01-09
87,https://experience.arcgis.com/experience/9a0ecbafe94f49829712b46fc69186ff,2026-01-09
88,https://docs.qgis.org/3.40/en/docs/training_manual/forestry/map_georeferencing.html,2026-01-09
89,https://www.data.qld.gov.au/dataset/queensland-imagery-latest-state-program-public-basemap-service,2026-01-09
90,https://spatial-gis.information.qld.gov.au/arcgis/rest/services/Transportation/RoadsAndTracks/MapServer,2026-01-09
91,https://spatial-gis.information.qld.gov.au/arcgis/rest/services/Boundaries/AdminBoundariesFramework/MapServer,2026-01-09
92,https://spatial-gis.information.qld.gov.au/arcgis/rest/services,2026-01-09
93,https://services3.arcgis.com/ocUCNI2h4moKOpKX/ArcGIS/rest/services,2026-01-09
94,https://services2.arcgis.com/dEKgZETqwmDAh1rP/ArcGIS/rest/services,2026-01-09
95,https://services9.arcgis.com/Ov1diE0uxjL6wSzH/ArcGIS/rest/services/,2026-01-09
96,https://www.arcgis.com/home/search.html?restrict=false&sortField=relevance&sortOrder=desc&focus=layers-weblayers-features#content,2026-01-09
97,https://help.nearmap.com/kb/articles/752,2026-01-09
98,https://qgis.org/download/,2026-01-09
99,https://changelog.qgis.org/en/qgis/version/3.30/#processing-drop-unmainted-saga-provider-from-qgis-,2026-01-09
100,https://www.usgs.gov/centers/eros/science/usgs-eros-archive-digital-elevation-shuttle-radar-topography-mission-srtm-1-arc?qt-science_center_objects=0#qt-science_center_objects,2026-01-09
101,https://github.com/uqlibrary/technology-training-assets/raw/master/QGIS/raster/QGIS_Raster_Data.zip,2026-01-09
102,https://epsg.io/4326,2026-01-09
103,https://epsg.io/7856,2026-01-09
104,https://user-images.githubusercontent.com/67612228/197653760-a9df4671-5852-499c-a085-3d995489599a.png,2026-01-09
105,https://www.ga.gov.au/scientific-topics/positioning-navigation/positioning-australia/geodesy/datums-projections/gda2020,2026-01-09
106,https://user-images.githubusercontent.com/67612228/197657028-314f7460-1c2c-4a5c-b447-25b82bea39ee.png,2026-01-09
107,https://user-images.githubusercontent.com/67612228/197659925-41753cd0-2fc7-4534-b6ec-7ddc4775d721.png,2026-01-09
108,https://user-images.githubusercontent.com/67612228/197659891-5474b893-2de3-47a4-95f5-9991b394ecf3.png,2026-01-09
109,https://www.omnicalculator.com/physics/distance-to-horizon,2026-01-09
110,https://web.library.uq.edu.au/study-and-learning-support/training-and-workshops/software-training-resources,2026-01-09
111,https://support.microsoft.com/en-au/office/get-started-with-microsoft-loop-9f4d8d4f-dfc6-4518-9ef6-069408c21f0c,2026-01-09
