country_code,year,spi
AFG,2020,42.2900009155273
AFG,2019,42.3400001525879
AFG,2018,40.6100006103516
AFG,2017,38.939998626709
AFG,2016,39.6500015258789
AFG,2015,38.6199989318848
AFG,2014,37.1300010681152
AFG,2013,36.2599983215332
AFG,2012,35.6199989318848
AFG,2011,35.3600006103516
ALB,2020,75.4100036621094
ALB,2019,75.6999969482422
ALB,2018,75.3199996948242
ALB,2017,75.379997253418
ALB,2016,74.6900024414063
ALB,2015,74.870002746582
ALB,2014,73.9899978637695
ALB,2013,73.1800003051758
ALB,2012,71.3199996948242
ALB,2011,70.8199996948242
DZA,2020,69.9199981689453
DZA,2019,69.6500015258789
DZA,2018,69.2099990844727
DZA,2017,68.9400024414063
DZA,2016,68.5400009155273
DZA,2015,68.1500015258789
DZA,2014,67.5800018310547
DZA,2013,67.4300003051758
DZA,2012,66.5500030517578
DZA,2011,66.25
AGO,2020,48.1599998474121
AGO,2019,47.6599998474121
AGO,2018,46.3400001525879
AGO,2017,46.060001373291
AGO,2016,45.1599998474121
AGO,2015,44.4500007629395
AGO,2014,43.2299995422363
AGO,2013,42.5800018310547
AGO,2012,41.2999992370605
AGO,2011,40.5999984741211
ARG,2020,80.6600036621094
ARG,2019,80.8300018310547
ARG,2018,79.5800018310547
ARG,2017,79.3399963378906
ARG,2016,78.8199996948242
ARG,2015,78.5599975585938
ARG,2014,78.0800018310547
ARG,2013,78.0899963378906
ARG,2012,77.2600021362305
ARG,2011,76.7399978637695
ARM,2020,76.4599990844727
ARM,2019,75.0199966430664
ARM,2018,73.4300003051758
ARM,2017,72.9199981689453
ARM,2016,72.6500015258789
ARM,2015,72.4800033569336
ARM,2014,71.9599990844727
ARM,2013,71.7300033569336
ARM,2012,70.25
ARM,2011,69
AUS,2020,91.2900009155274
AUS,2019,91.25
AUS,2018,91.2900009155274
AUS,2017,90.8600006103516
AUS,2016,90.7399978637695
AUS,2015,90.6500015258789
AUS,2014,90.370002746582
AUS,2013,90.6800003051758
AUS,2012,90.0899963378906
AUS,2011,89.9400024414063
AUT,2020,89.5
AUT,2019,89.379997253418
AUT,2018,88.9400024414062
AUT,2017,89.0899963378906
AUT,2016,89.0999984741211
AUT,2015,88.8499984741211
AUT,2014,87.9000015258789
AUT,2013,87.7600021362305
AUT,2012,87.0400009155273
AUT,2011,86.5699996948242
AZE,2020,64.1100006103516
AZE,2019,63.5099983215332
AZE,2018,63.5299987792969
AZE,2017,63.1599998474121
