Datetime,Close,High,Low,Open
2025-09-08 00:00:00+00:00,9112.400390625,9133.0,9112.400390625,9131.2998046875
2025-09-08 00:05:00+00:00,9123.2998046875,9126.2001953125,9115.0,9115.0
2025-09-08 00:10:00+00:00,9122.2001953125,9130.2998046875,9121.400390625,9121.599609375
2025-09-08 00:15:00+00:00,9117.7998046875,9124.599609375,9111.400390625,9121.2001953125
2025-09-08 00:20:00+00:00,9119.2001953125,9123.5,9119.2001953125,9120.2001953125
2025-09-08 00:25:00+00:00,9120.900390625,9126.099609375,9119.2001953125,9119.2001953125
2025-09-08 00:30:00+00:00,9113.2998046875,9121.7998046875,9111.900390625,9121.7998046875
2025-09-08 00:35:00+00:00,9118.400390625,9118.400390625,9114.400390625,9115.099609375
2025-09-08 00:40:00+00:00,9117.7998046875,9119.599609375,9117.0,9118.5
2025-09-08 00:45:00+00:00,9114.099609375,9118.7001953125,9114.099609375,9118.7001953125
2025-09-08 00:50:00+00:00,9115.2001953125,9116.7001953125,9113.5,9113.5
2025-09-08 00:55:00+00:00,9115.2998046875,9115.2998046875,9112.7998046875,9114.2998046875
2025-09-08 01:00:00+00:00,9109.7001953125,9114.900390625,9109.7001953125,9114.0
2025-09-08 01:05:00+00:00,9111.2998046875,9111.2998046875,9109.400390625,9109.900390625
2025-09-08 01:10:00+00:00,9118.599609375,9118.599609375,9110.7001953125,9110.7001953125
2025-09-08 01:15:00+00:00,9124.0,9126.7998046875,9119.599609375,9119.599609375
2025-09-08 01:20:00+00:00,9119.7998046875,9123.599609375,9119.7998046875,9123.5
2025-09-08 01:25:00+00:00,9111.7998046875,9117.900390625,9111.7998046875,9117.900390625
2025-09-08 01:30:00+00:00,9107.7001953125,9111.400390625,9106.099609375,9111.400390625
2025-09-08 01:35:00+00:00,9108.400390625,9109.0,9107.900390625,9108.5
2025-09-08 01:40:00+00:00,9118.2001953125,9119.400390625,9109.0,9109.0
2025-09-08 01:45:00+00:00,9119.7001953125,9119.7001953125,9115.2001953125,9118.0
2025-09-08 01:50:00+00:00,9116.099609375,9121.0,9115.099609375,9121.0
2025-09-08 01:55:00+00:00,9108.7998046875,9117.0,9107.7998046875,9117.0
2025-09-08 02:00:00+00:00,9104.0,9108.5,9104.0,9108.099609375
2025-09-08 02:05:00+00:00,9108.900390625,9108.900390625,9103.7001953125,9103.7001953125
2025-09-08 02:10:00+00:00,9106.7998046875,9109.400390625,9106.099609375,9109.099609375
2025-09-08 02:15:00+00:00,9105.400390625,9108.0,9103.7998046875,9107.5
2025-09-08 02:20:00+00:00,9108.599609375,9108.599609375,9104.900390625,9105.7998046875
2025-09-08 02:25:00+00:00,9108.2998046875,9109.2001953125,9106.7998046875,9108.2001953125
2025-09-08 02:30:00+00:00,9114.099609375,9114.2998046875,9109.2001953125,9109.2001953125
2025-09-08 02:35:00+00:00,9115.599609375,9116.900390625,9114.5,9115.2001953125
2025-09-08 02:40:00+00:00,9114.2998046875,9114.7001953125,9112.0,9114.7001953125
2025-09-08 02:45:00+00:00,9116.2998046875,9117.599609375,9114.5,9114.7998046875
2025-09-08 02:50:00+00:00,9118.2001953125,9119.2998046875,9117.099609375,9117.099609375
2025-09-08 02:55:00+00:00,9117.7998046875,9119.2998046875,9117.5,9118.0
2025-09-08 03:00:00+00:00,9119.400390625,9120.5,9117.900390625,9117.900390625
2025-09-08 03:05:00+00:00,9121.099609375,9121.7001953125,9118.7001953125,9119.099609375
2025-09-08 03:10:00+00:00,9120.7998046875,9122.0,9120.099609375,9122.0
2025-09-08 03:15:00+00:00,9121.599609375,9123.2001953125,9120.400390625,9120.400390625
2025-09-08 03:20:00+00:00,9121.2001953125,9121.7001953125,9120.2001953125,9121.5
2025-09-08 03:25:00+00:00,9121.2998046875,9122.400390625,9120.7998046875,9120.7998046875
2025-09-08 03:30:00+00:00,9122.0,9122.099609375,9121.099609375,9121.599609375
2025-09-08 03:35:00+00:00,9121.7998046875,9123.400390625,9120.900390625,9122.400390625
2025-09-08 03:40:00+00:00,9119.2998046875,9121.7001953125,9119.2998046875,9121.599609375
2025-09-08 03:45:00+00:00,9118.7001953125,9119.900390625,9118.599609375,9119.5
2025-09-08 03:50:00+00:00,9115.7998046875,9118.7001953125,9115.7998046875,9118.7001953125
2025-09-08 03:55:00+00:00,9117.2001953125,9118.599609375,9116.400390625,9116.400390625
2025-09-08 04:00:00+00:00,9116.2001953125,9117.599609375,9114.900390625,9117.400390625
2025-09-08 04:05:00+00:00,9116.400390625,9119.2001953125,9116.0,9117.099609375
2025-09-08 04:10:00+00:00,9114.099609375,9115.900390625,9113.400390625,9115.900390625
2025-09-08 04:15:00+00:00,9112.5,9115.599609375,9111.2998046875,9115.599609375
2025-09-08 04:20:00+00:00,9115.900390625,9115.900390625,9112.2001953125,9112.2998046875
2025-09-08 04:25:00+00:00,9117.7998046875,9118.2001953125,9115.5,9116.0
2025-09-08 04:30:00+00:00,9115.7001953125,9118.900390625,9115.7001953125,9117.599609375
2025-09-08 04:35:00+00:00,9115.400390625,9116.2998046875,9114.7998046875,9115.7001953125
2025-09-08 04:40:00+00:00,9115.099609375,9117.7998046875,9114.7001953125,9116.0
2025-09-08 04:45:00+00:00,9117.2998046875,9118.099609375,9114.7001953125,9114.7001953125
2025-09-08 04:50:00+00:00,9118.099609375,9119.900390625,9117.2001953125,9117.900390625
2025-09-08 04:55:00+00:00,9120.7998046875,9120.7998046875,9117.900390625,9117.900390625
2025-09-08 05:00:00+00:00,9115.7001953125,9120.7001953125,9115.0,9120.7001953125
2025-09-08 05:05:00+00:00,9116.2998046875,9119.0,9115.099609375,9115.099609375
2025-09-08 05:10:00+00:00,9117.099609375,9117.099609375,9116.0,9117.099609375
2025-09-08 05:15:00+00:00,9118.599609375,9118.599609375,9116.2998046875,9117.400390625
2025-09-08 05:20:00+00:00,9117.2998046875,9118.5,9116.900390625,9118.5
